contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,stockTicker,expiryDate,stockClosePrice
AAPL250718C00180000,2025-07-11 19:29:44+00:00,180.0,31.37,31.0,31.45,-1.8099995,-5.4550915,33.0,2512.0,0.6171913281250001,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00182500,2025-07-11 18:57:49+00:00,182.5,28.8,28.5,29.0,-0.20000076,-0.6896578,1.0,30.0,0.5908244042968751,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00185000,2025-07-11 19:18:45+00:00,185.0,26.5,26.0,26.35,-1.8999996,-6.69014,63.0,5464.0,0.48828636718750007,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00187500,2025-07-09 16:11:45+00:00,187.5,24.15,23.6,24.05,3.3500004,16.105772,4.0,37.0,0.51562984375,True,REGULAR,USD,AAPL,2025-07-18,211.13999938964844
AAPL250718C00190000,2025-07-11 19:57:00+00:00,190.0,21.4,21.15,21.4,-1.2000008,-5.3097377,1944.0,2883.0,0.42383388671875,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00192500,2025-07-11 19:46:41+00:00,192.5,18.8,18.35,19.0,-1.5500011,-7.6167135,41.0,359.0,0.4101621484375,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00195000,2025-07-11 19:56:59+00:00,195.0,16.4,16.25,16.5,-1.1900005,-6.7652106,130.0,6791.0,0.36475244628906256,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00197500,2025-07-11 19:59:52+00:00,197.5,13.95,13.8,14.25,-1.2200003,-8.042191,92.0,405.0,0.36817038085937503,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00200000,2025-07-11 19:56:29+00:00,200.0,11.52,11.35,11.6,-1.4799995,-11.384612,4731.0,24148.0,0.2912668530273437,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00202500,2025-07-11 19:57:48+00:00,202.5,9.15,9.05,9.2,-1.2300005,-11.849715,606.0,2235.0,0.25708750732421876,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00205000,2025-07-11 19:59:58+00:00,205.0,6.93,6.85,7.0,-1.27,-15.487805,2174.0,23767.0,0.24024197265624997,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00207500,2025-07-11 19:59:26+00:00,207.5,5.0,4.9,5.05,-1.1999998,-19.354837,2171.0,4942.0,0.23084265258789063,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00210000,2025-07-11 19:59:59+00:00,210.0,3.3,3.25,3.35,-1.1000001,-25.000004,19322.0,41364.0,0.21949022705078125,True,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00212500,2025-07-11 19:59:59+00:00,212.5,2.02,1.98,2.01,-0.78999996,-28.11388,30750.0,18189.0,0.2098467687988281,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00215000,2025-07-11 19:59:58+00:00,215.0,1.09,1.07,1.1,-0.66999996,-38.068176,48486.0,55485.0,0.2048419360351562,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00217500,2025-07-11 19:59:53+00:00,217.5,0.55,0.53,0.55,-0.43,-43.877552,9100.0,7952.0,0.20264469238281246,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00220000,2025-07-11 19:59:45+00:00,220.0,0.28,0.27,0.28,-0.27,-49.09091,20961.0,43750.0,0.20752745605468748,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00222500,2025-07-11 19:59:58+00:00,222.5,0.15,0.15,0.16,-0.15,-50.0,7234.0,7838.0,0.21973436523437498,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00225000,2025-07-11 19:59:57+00:00,225.0,0.1,0.09,0.1,-0.080000006,-44.444447,13161.0,51261.0,0.23438265625,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00227500,2025-07-11 19:56:37+00:00,227.5,0.07,0.06,0.07,-0.049999997,-41.666664,1141.0,1409.0,0.25196060546875,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00230000,2025-07-11 19:59:56+00:00,230.0,0.05,0.04,0.05,-0.02,-28.571428,5449.0,54447.0,0.2695385546875,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00232500,2025-07-11 19:56:09+00:00,232.5,0.04,0.03,0.04,-0.010000002,-20.000002,468.0,508.0,0.2890696093749999,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00235000,2025-07-11 19:58:50+00:00,235.0,0.02,0.02,0.03,-0.01,-33.333336,957.0,13977.0,0.304694453125,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00240000,2025-07-11 19:53:22+00:00,240.0,0.01,0.01,0.02,-0.01,-50.0,474.0,18151.0,0.3398503515625,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00245000,2025-07-11 19:33:18+00:00,245.0,0.01,0.0,0.01,0.0,0.0,149.0,8013.0,0.35938140625,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00250000,2025-07-11 19:27:50+00:00,250.0,0.01,0.0,0.01,0.0,0.0,121.0,32727.0,0.4062559375,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00255000,2025-07-11 19:27:09+00:00,255.0,0.01,0.0,0.01,0.0,0.0,58.0,7128.0,0.445318046875,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00260000,2025-07-09 15:49:08+00:00,260.0,0.01,0.0,0.01,0.0,0.0,19.0,3957.0,0.48438015625,False,REGULAR,USD,AAPL,2025-07-18,211.13999938964844
AAPL250718C00265000,2025-07-10 19:06:01+00:00,265.0,0.01,0.0,0.01,0.0,0.0,21.0,4624.0,0.500005,False,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00270000,2025-07-10 15:21:29+00:00,270.0,0.01,0.0,0.01,0.0,0.0,5.0,8537.0,0.5312546875,False,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00275000,2025-07-11 16:09:29+00:00,275.0,0.01,0.0,0.01,0.0,0.0,1.0,3223.0,0.5625043750000001,False,REGULAR,USD,AAPL,2025-07-18,211.16000366210938
AAPL250718C00280000,2025-07-10 19:53:16+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1.0,4905.0,0.6093789062500001,False,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00285000,2025-07-03 16:35:45+00:00,285.0,0.01,0.0,0.01,0.0,0.0,26.0,5933.0,0.64062859375,False,REGULAR,USD,AAPL,2025-07-18,213.5500030517578
AAPL250718C00290000,2025-07-03 13:31:43+00:00,290.0,0.02,0.0,0.01,0.0,0.0,40.0,1972.0,0.6718782812500002,False,REGULAR,USD,AAPL,2025-07-18,213.5500030517578
AAPL250718C00295000,2025-07-09 18:36:05+00:00,295.0,0.01,0.0,0.01,0.0,0.0,1.0,1907.0,0.70312796875,False,REGULAR,USD,AAPL,2025-07-18,211.13999938964844
AAPL250718C00300000,2025-07-09 15:24:10+00:00,300.0,0.01,0.0,0.01,0.0,0.0,2.0,3696.0,0.7500025,False,REGULAR,USD,AAPL,2025-07-18,211.13999938964844
AAPL250718C00305000,2025-07-02 16:48:05+00:00,305.0,0.01,0.0,0.01,0.0,0.0,2.0,2872.0,0.7812521875,False,REGULAR,USD,AAPL,2025-07-18,212.44000244140625
AAPL250718C00310000,2025-07-10 19:06:24+00:00,310.0,0.01,0.0,0.01,0.0,0.0,30.0,1877.0,0.8125018749999999,False,REGULAR,USD,AAPL,2025-07-18,212.41000366210938
AAPL250718C00315000,2025-06-12 15:57:40+00:00,315.0,0.01,0.0,0.01,0.0,0.0,5.0,779.0,0.8437515624999999,False,REGULAR,USD,AAPL,2025-07-18,199.1999969482422
AAPL250718C00320000,2025-06-10 16:08:26+00:00,320.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,AAPL,2025-07-18,202.6699981689453
AAPL250718C00325000,2025-06-24 13:30:01+00:00,325.0,0.01,0.0,0.01,0.0,0.0,2.0,1263.0,0.8906260937499999,False,REGULAR,USD,AAPL,2025-07-18,200.3000030517578
AAPL250718C00330000,2025-06-18 19:06:10+00:00,330.0,0.01,0.0,0.01,0.0,0.0,31.0,464.0,0.9062509375,False,REGULAR,USD,AAPL,2025-07-18,196.5800018310547
AAPL250718C00340000,2025-06-16 17:54:32+00:00,340.0,0.01,0.0,0.01,0.0,0.0,2.0,1482.0,0.9687503125,False,REGULAR,USD,AAPL,2025-07-18,198.4199981689453
AAPL250718C00350000,2025-06-27 17:55:03+00:00,350.0,0.01,0.0,0.01,0.0,0.0,1.0,228.0,1.0312548437500002,False,REGULAR,USD,AAPL,2025-07-18,201.0800018310547
AAPL250718C00360000,2025-05-05 14:01:11+00:00,360.0,0.02,0.0,0.01,0.0,0.0,10.0,94.0,1.09375453125,False,REGULAR,USD,AAPL,2025-07-18,198.62953186035156
AAPL250718C00370000,2025-05-30 19:44:21+00:00,370.0,0.01,0.0,0.01,0.0,0.0,50.0,140.0,1.125004375,False,REGULAR,USD,AAPL,2025-07-18,200.85000610351562
AAPL250718C00380000,2025-06-17 17:44:13+00:00,380.0,0.01,0.0,0.01,0.0,0.0,1.0,842.0,1.1875040625,False,REGULAR,USD,AAPL,2025-07-18,195.63999938964844
AAPL250718C00390000,2025-06-16 17:41:23+00:00,390.0,0.01,0.0,0.01,0.0,0.0,10.0,299.0,1.21875390625,False,REGULAR,USD,AAPL,2025-07-18,198.4199981689453
AAPL250718C00400000,2025-07-07 13:31:46+00:00,400.0,0.01,0.0,0.01,0.0,0.0,2.0,5885.0,1.2812535937499998,False,REGULAR,USD,AAPL,2025-07-18,209.9499969482422
AAPL250725C00110000,2025-07-09 17:50:27+00:00,110.0,99.45,100.85,102.25,0.0,0.0,2.0,9.0,1.5908223583984373,True,REGULAR,USD,AAPL,2025-07-25,211.13999938964844
AAPL250725C00120000,2025-06-27 17:42:44+00:00,120.0,81.97,90.8,91.8,0.0,0.0,5.0,5.0,1.2089883300781248,True,REGULAR,USD,AAPL,2025-07-25,201.0800018310547
AAPL250725C00125000,2025-06-20 14:16:46+00:00,125.0,75.5,85.85,86.7,0.0,0.0,1.0,1.0,1.1015669921875002,True,REGULAR,USD,AAPL,2025-07-25,201.0
AAPL250725C00135000,2025-06-23 17:28:40+00:00,135.0,67.0,75.9,76.7,0.0,0.0,2.0,1.0,0.9785158398437501,True,REGULAR,USD,AAPL,2025-07-25,201.5
AAPL250725C00140000,2025-06-26 13:33:14+00:00,140.0,62.69,70.8,71.7,0.0,0.0,2.0,10.0,0.8554701953125,True,REGULAR,USD,AAPL,2025-07-25,201.0
AAPL250725C00145000,2025-06-24 16:49:05+00:00,145.0,58.59,65.95,66.7,0.0,0.0,1.0,1.0,0.85742330078125,True,REGULAR,USD,AAPL,2025-07-25,200.3000030517578
AAPL250725C00150000,2025-07-10 13:43:26+00:00,150.0,61.38,60.8,61.7,0.0,0.0,1.0,47.0,0.726565234375,True,REGULAR,USD,AAPL,2025-07-25,212.41000366210938
AAPL250725C00155000,2025-07-01 15:26:21+00:00,155.0,54.2,56.0,56.75,0.0,0.0,3.0,4.0,0.7509790527343749,True,REGULAR,USD,AAPL,2025-07-25,207.82000732421875
AAPL250725C00160000,2025-07-08 15:48:32+00:00,160.0,50.4,51.1,51.7,0.0,0.0,1.0,6330.0,0.6953155468750001,True,REGULAR,USD,AAPL,2025-07-25,210.00999450683594
AAPL250725C00165000,2025-07-10 19:11:32+00:00,165.0,48.24,45.85,46.75,0.0,0.0,30.0,40.0,0.57812921875,True,REGULAR,USD,AAPL,2025-07-25,212.41000366210938
AAPL250725C00170000,2025-07-11 19:56:42+00:00,170.0,41.45,41.1,41.8,3.5,9.222661,1.0,74.0,0.5820354296875,True,REGULAR,USD,AAPL,2025-07-25,211.16000366210938
AAPL250725C00175000,2025-07-11 15:19:33+00:00,175.0,35.95,35.9,36.85,-1.75,-4.6419096,3.0,95.0,0.6147499462890625,True,REGULAR,USD,AAPL,2025-07-25,211.16000366210938
AAPL250725C00180000,2025-07-11 15:19:33+00:00,180.0,31.5,31.2,31.75,-1.4000015,-4.2553234,4.0,498.0,0.5214891601562499,True,REGULAR,USD,AAPL,2025-07-25,211.16000366210938
AAPL250725C00185000,2025-07-10 18:29:46+00:00,185.0,26.65,26.1,26.7,-1.3199997,-4.7193413,15.0,174.0,0.44043528320312497,True,REGULAR,USD,AAPL,2025-07-25,212.41000366210938
AAPL250725C00190000,2025-07-11 19:58:52+00:00,190.0,21.6,21.45,21.75,-1.8799992,-8.00681,251.0,373.0,0.37793590820312495,True,REGULAR,USD,AAPL,2025-07-25,211.16000366210938
